model,accuracy,precision_macro,recall_macro,f1_macro
FNN,0.5155022736668045,0.45139962752962876,0.4480979600292303,0.38795465882065777
RandomForest,0.4993799090533278,0.4466005164840156,0.4531419994907327,0.4357881489391506
XGBoost,0.4944191814799504,0.4454195287263801,0.4475205426901754,0.42993978206999345
SVM,0.47622984704423316,0.4448472092210356,0.4473502759116856,0.4456890209102598
Voting,0.46796196775527077,0.4559483335652888,0.45130093780922226,0.4522787858318547
LogisticRegression,0.46796196775527077,0.449079772389819,0.4469399792271713,0.44769842685457545
NaiveBayes,0.4076064489458454,0.4473442747499436,0.42305623226110645,0.41030979086752933
