trial,n_qubits,n_q_layers,head_hidden,dropout,lr,weight_decay,epochs,batch_size,status,accuracy,precision_macro,recall_macro,f1_macro,best_val_f1
1,4,1,24,0.1,0.001,0.0001,45,256,ok,0.3356758991318727,0.3369879187705045,0.33618497502077765,0.3319061198404409,0.33409164398695806
7,6,2,48,0.2,0.0006,0.0001,55,256,ok,0.33526250516742456,0.33911042946220976,0.33689499864655476,0.33065110099241485,0.3319701089623022
8,6,3,48,0.2,0.0006,0.0001,55,256,ok,0.3588259611409673,0.3323862017597241,0.33373589975676415,0.33050953815057205,0.33777581048964667
3,4,2,32,0.15,0.0008,0.0001,50,256,ok,0.33939644481190573,0.33143233943079037,0.33140281533373495,0.3300099895855889,0.341349875969271
2,4,2,24,0.1,0.001,0.0001,45,256,ok,0.33526250516742456,0.3352223506942375,0.3335741003664208,0.32864339613196475,0.33161276250467014
6,6,2,32,0.1,0.001,0.0001,45,256,ok,0.35717238528317485,0.3467002975198053,0.33946247716739525,0.32720240277405743,0.321827387653626
4,4,3,32,0.15,0.0008,0.0001,50,256,ok,0.3476643241008681,0.33334769952861526,0.3316247110934583,0.3197706729891033,0.35543239427731205
5,6,1,32,0.1,0.001,0.0001,45,256,ok,0.34849111202976435,0.3289031604191231,0.3298362097169847,0.31916511870509073,0.33415128410475897
