model,accuracy,precision_macro,recall_macro,f1_macro,notes
LR,0.48449772633319554,0.44453467781611183,0.4501134274782035,0.4449745335916246,temporal holdout
KNN,0.46176105828854896,0.40781314739022784,0.4142537309715359,0.40219665770361246,temporal holdout
BP-MLP,0.39768499379909056,0.37216221790490356,0.3724436576194268,0.3718953538304513,temporal holdout
Hybrid-QNN,0.3356758991318727,0.3369879187705045,0.33618497502077765,0.3319061198404409,"q=4, layers=1, hidden=24, best_val_f1=0.3341"
